73029
170100  11740 170700 32913 171000 40312 171300 1797 -1
170200  7838 170300 23502 170600 65019 170900 27426 171300 17755 -1
170300  43846 170200 23502 170600 7768 171200 66416 171300 17981 -1
170400  3758 170800 14069 -1
170500  7967 170900 19878 171400 20108 -1
170600  14260 170200 65019 170300 7768 -1
170700  6609 170100 32913 171200 26527 171300 23297 -1
170800  15683 170400 14069 171000 3531 171100 34495 171400 14139 -1
170900  8615 170200 27426 170500 19878 171300 36322 171400 7479 -1
171000  6390 170100 40312 170800 3531 171300 7587 171400 38173 -1
171100  7360 170800 34495 171400 38555 -1
171200  19529 170300 66416 170700 26527 171300 14007 -1
171300  15186 170100 1797 170200 17755 170300 17981 170700 23297 170900 36322 171000 7587 171200 14007 171400 9797 -1
171400  50306 170500 20108 170800 14139 170900 7479 171000 38173 171100 38555 171300 9797 -1
