70771
040100  5365 040500 29749 040700 883 040800 39466 040900 20867 041000 16950 -1
040200  36212 040500 45902 041100 33443 041200 54797 -1
040300  6339 040700 2326 040900 15037 041000 28464 -1
040400  3244 040800 23641 040900 43734 -1
040500  18040 040100 29749 040200 45902 040700 50824 040800 28881 041100 11325 041200 36934 -1
040600  7444 040800 26795 041100 61995 -1
040700  23474 040100 883 040300 2326 040500 50824 041000 34967 041200 10147 -1
040800  10417 040100 39466 040400 23641 040500 28881 040600 26795 040900 17935 041100 19134 -1
040900  8262 040100 20867 040300 15037 040400 43734 040800 17935 041000 27039 -1
041000  6941 040100 16950 040300 28464 040700 34967 040900 27039 -1
041100  5806 040200 33443 040500 11325 040600 61995 040800 19134 -1
041200  9997 040200 54797 040500 36934 040700 10147 -1
