75768
090100  6026 090500 17717 091300 10120 -1
090200  6960 090400 18309 090700 5176 091000 25721 091100 36916 -1
090300  7669 090500 23898 090600 8834 090700 36767 091000 1572 091300 22023 -1
090400  5530 090200 18309 091000 42536 091400 18461 -1
090500  4639 090100 17717 090300 23898 090600 16487 091300 13158 -1
090600  12973 090300 8834 090500 16487 090700 8865 090800 26541 091200 33134 -1
090700  38133 090200 5176 090300 36767 090600 8865 090800 10456 091000 50646 091100 48467 -1
090800  3273 090600 26541 090700 10456 091200 8291 -1
090900  5314 091000 17338 091300 29006 091400 42702 -1
091000  9335 090200 25721 090300 1572 090400 42536 090700 50646 090900 17338 091300 29662 091400 7484 -1
091100  13149 090200 36916 090700 48467 -1
091200  22000 090600 33134 090800 8291 -1
091300  9134 090100 10120 090300 22023 090500 13158 090900 29006 091000 29662 -1
091400  7400 090400 18461 090900 42702 091000 7484 -1
