96391
120100  2739 120300 22491 120600 40869 120800 34479 121100 4541 121300 22924 -1
120200  2561 120400 20812 120700 19962 121100 21579 121400 27281 -1
120300  3486 120100 22491 120800 26112 121300 55215 121500 40859 -1
120400  7166 120200 20812 120700 18829 -1
120500  2752 120600 4750 121000 20582 121200 52723 121400 16746 -1
120600  3052 120100 40869 120500 4750 120900 18221 121100 5849 121200 29219 121300 9670 121400 39375 -1
120700  19082 120200 19962 120400 18829 121100 33450 -1
120800  2691 120100 34479 120300 26112 121100 25919 121500 26789 -1
120900  3277 120600 18221 121200 33164 121300 11199 -1
121000  2765 120500 20582 121400 25094 -1
121100  2584 120100 4541 120200 21579 120600 5849 120700 33450 120800 25919 121400 11246 -1
121200  5869 120500 52723 120600 29219 120900 33164 -1
121300  14056 120100 22924 120300 55215 120600 9670 120900 11199 -1
121400  20376 120200 27281 120500 16746 120600 39375 121000 25094 121100 11246 -1
121500  3935 120300 40859 120800 26789 -1
