75360
080100  34611 080800 36298 081300 25070 -1
080200  2391 080400 46135 080800 5620 081400 44450 -1
080300  4076 080700 17507 080900 36282 081500 9375 -1
080400  5747 080200 46135 081400 10624 081600 30514 -1
080500  56582 080800 32786 081000 33951 081200 16464 -1
080600  18539 081100 11472 081300 25550 -1
080700  23659 080300 17507 080900 12970 081100 15706 081500 21534 -1
080800  59307 080100 36298 080200 5620 080500 32786 081200 30212 081300 21529 081400 21952 -1
080900  4561 080300 36282 080700 12970 081100 36118 081300 37578 -1
081000  37244 080500 33951 081200 2675 081400 18131 -1
081100  48848 080600 11472 080700 15706 080900 36118 081300 14824 -1
081200  9205 080500 16464 080800 30212 081000 2675 081400 47023 -1
081300  29921 080100 25070 080600 25550 080800 21529 080900 37578 081100 14824 -1
081400  21469 080200 44450 080400 10624 080800 21952 081000 18131 081200 47023 081600 15028 -1
081500  3908 080300 9375 080700 21534 -1
081600  16733 080400 30514 081400 15028 -1
